Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Casa de Condomínio;Recreio dos Bandeirantes;4;4;4;500;9000.0;1000.0;1100.0;18.0;Casa
Casa de Condomínio;Barra da Tijuca;4;4;2;600;30000.0;1050.0;1300.0;50.0;Casa
Casa de Condomínio;Barra da Tijuca;4;4;4;600;17000.0;1800.0;2200.0;28.33;Casa
Casa de Condomínio;Vargem Grande;3;2;1;160;3000.0;0.0;0.0;18.75;Casa
Casa de Condomínio;Barra da Tijuca;5;0;5;900;20000.0;1324.0;16000.0;22.22;Casa
Casa de Condomínio;Freguesia (Jacarepaguá);4;1;4;253;3600.0;805.0;239.0;14.23;Casa
Casa de Condomínio;Barra da Tijuca;4;5;4;325;8009.0;600.0;0.0;24.64;Casa
Casa de Condomínio;Barra da Tijuca;4;2;2;210;5000.0;970.0;0.0;23.81;Casa
Casa de Condomínio;Barra da Tijuca;6;3;3;430;7500.0;150.0;1000.0;17.44;Casa
Casa de Condomínio;Recreio dos Bandeirantes;3;2;3;224;4500.0;1622.0;418.0;20.09;Casa
Casa de Condomínio;Barra da Tijuca;4;0;4;1000;25000.0;2500.0;25000.0;25.0;Casa
Casa de Condomínio;Barra da Tijuca;5;5;5;580;15000.0;820.0;10674.0;25.86;Casa
Casa de Condomínio;Barra da Tijuca;4;4;2;400;7500.0;1145.0;750.0;18.75;Casa
Casa de Condomínio;Vargem Grande;3;1;1;100;2000.0;200.0;1.0;20.0;Casa
Casa de Condomínio;Barra da Tijuca;4;10;0;771;25000.0;1550.0;147.0;32.43;Casa
Casa de Condomínio;Jacarepaguá;3;3;0;150;3000.0;50.0;71.0;20.0;Casa
Casa de Condomínio;Barra da Tijuca;4;4;0;365;10000.0;1207.0;1197.0;27.4;Casa
Casa de Condomínio;Barra da Tijuca;5;4;4;400;7000.0;811.0;0.0;17.5;Casa
Casa de Condomínio;São Conrado;4;4;4;640;28000.0;2400.0;1300.0;43.75;Casa
Casa de Condomínio;Barra da Tijuca;5;4;5;900;21000.0;1300.0;1600.0;23.33;Casa
Casa de Condomínio;Barra da Tijuca;5;5;2;400;12500.0;1907.0;0.0;31.25;Casa
Casa de Condomínio;Joá;4;3;2;300;10000.0;1630.0;650.0;33.33;Casa
